date,open,high,low,close,volume,prob_up,prob_reversal,agreement_trend,agreement_mr,market_regime,signal,position_size,stop_loss_pct,take_profit_pct,max_hold_days,rsi_14,macd,bb_position,adx,volatility_10
2025-12-10,228.22,229.35,223.0,223.97,307178,0.7304408432924749,0.109614274298438,3,0,neutral,STRONG_BUY,0.3,"(0.061290096250135526, 0.09193514437520328)","(0.061290096250135526, 0.09193514437520328)",5,23.473967684021545,-5.681526525281669,0.1286974272722444,27.31747361526484,0.0166418328401296
2025-12-11,223.9,227.0,220.63,225.89,463430,0.720505604474639,0.109614274298438,3,0,neutral,STRONG_BUY,0.3,"(0.0555643391536968, 0.08334650873054521)","(0.0555643391536968, 0.08334650873054521)",5,27.089715536105004,-5.700808787638493,0.2111695313574143,29.384601527193773,0.0173225228291854
2025-12-12,226.5,227.69,225.6,227.24,307101,0.7262072390183762,0.109614274298438,3,0,neutral,STRONG_BUY,0.3,"(0.054108934543717145, 0.08116340181557571)","(0.054108934543717145, 0.08116340181557571)",5,30.14931927975408,-5.5432571836429645,0.2700632238194729,31.715559894593493,0.0176777168060587
2025-12-15,226.41,229.38,225.17,228.5,287594,0.6111923245153186,0.109614274298438,3,0,neutral,BUY,0.25,"(0.049109096592685225, 0.07366364488902784)","(0.049109096592685225, 0.07366364488902784)",5,39.32318992654776,-5.256135474716075,0.3211619480472584,35.424406428934375,0.015938288870629
2025-12-16,228.0,228.1,224.16,225.14,203465,0.5818739486677189,0.109614274298438,2,0,neutral,BUY,0.25,"(0.04857929669158238, 0.07286894503737357)","(0.04857929669158238, 0.07286894503737357)",5,31.355273386887774,-5.239317777127013,0.2472167532440883,39.224817555421126,0.016535810621595
2025-12-17,224.2,225.92,222.25,223.21,247906,0.596436364418399,0.109614274298438,3,0,oversold_downtrend,SELL,0.0,"(0.024010060993171066, 0.036015091489756595)","(0.024010060993171066, 0.036015091489756595)",2,30.914665304036788,-5.320394307196807,0.2088433294708124,42.42348081078444,0.0163503668532208
2025-12-18,223.25,223.41,220.05,222.66,180939,0.6410955013196649,0.109614274298438,3,0,oversold_downtrend,SELL,0.0,"(0.02408861685337028, 0.03613292528005542)","(0.02408861685337028, 0.03613292528005542)",2,31.37153227897329,-5.36715917483329,0.2089896288422425,46.07905349720795,0.0161826488768917
2025-12-19,223.49,227.6,222.71,226.55,271775,0.7114333832486501,0.109614274298438,3,0,oversold_downtrend,SELL,0.0,"(0.02260617334552448, 0.03390926001828672)","(0.02260617334552448, 0.03390926001828672)",2,44.26910299003324,-5.03232071870994,0.3595483353350637,47.13350197330766,0.017405990388348
2025-12-22,230.0,234.9,229.45,232.6,1294950,0.7342527054593845,0.109614274298438,3,0,trending_up,STRONG_BUY,0.3,"(0.047420464316423036, 0.07113069647463455)","(0.047420464316423036, 0.07113069647463455)",5,52.98076923076922,-4.230013430080959,0.651554591250349,45.934480844599626,0.0159214157860112
2025-12-23,235.99,252.28,234.5,241.95,9065054,0.7214173225694354,0.109614274298438,3,0,trending_up,STRONG_BUY,0.3,"(0.05429102825259056, 0.08143654237888584)","(0.05429102825259056, 0.08143654237888584)",5,60.436893203883486,-2.807350871410648,1.0363399846418655,46.53691972892176,0.0184255805228551
2025-12-24,242.67,246.5,240.82,242.6,1151718,0.4243054533076823,0.109614274298438,2,0,trending_up,HOLD,0.0,"(0.055794370509951716, 0.08369155576492757)","(0.055794370509951716, 0.08369155576492757)",5,63.97736797988265,-1.608884754259719,1.0292528571286577,47.41481787806428,0.0163788060797944
2025-12-26,242.2,257.38,240.85,252.65,6686823,0.3446781237546897,0.109614274298438,2,0,trending_up,HOLD,0.0,"(0.06088603658364197, 0.09132905487546296)","(0.06088603658364197, 0.09132905487546296)",5,70.14069828035434,0.150128696548137,1.2158635744925232,47.98219455079016,0.0194769232599164
